name,win,linux,mac,author,description
SkateBIRD,t,t,t,glassbottommeg,It's a game about trying your best
Backbone,t,f,f,Raw Fury,A post-noir narrative adventure. Become raccoon private eye Howard Lotor and explore dystopian Vancouver.
Cloud Gardens,t,f,t,noio,A chill game about using plants to overgrow abandoned wasteland dioramas
CrossCode,t,t,t,Radical Fish Games,A retro-inspired 2D Action-RPG set in the distant future
Thirsty Sword Lesbians,f,f,f,evilhat,Thirsty Sword Lesbians is a roleplaying game for telling queer stories with friends.
Kingdom Two Crowns,t,f,f,Raw Fury,Build your kingdom and secure it from the threat of the Greed.
Wandersong,t,f,f,banov,A musical adventure game where you use singing to save the world!
Acid Death Fantasy,f,f,f,Melsonian Arts Council,
Lucifer Within Us,t,f,t,Kitfox Games,Solve murders as a digital exorcist.
Liminal Horror,f,f,f,Goblin Archives,A cosmic horror hack of Cairn.
Avery Chase - EP1 : Apparition,f,f,f,C.Bedford,Avery Chase EP1
GoNNER,t,t,t,Raw Fury,GoNNER is a tough as hell procedurally-generated 2D platformer with roguelike elements.
INMOST,t,f,t,Chucklefish Games,Escape the depths of an otherworldly labyrinth in this cinematic puzzle platformer.
Figment,t,t,t,Bedtime Digital Games,Figment is an action-adventure game that invites you to explore a unique surreal universe filled with music and humor
LOST EONS Core Books,f,f,f,David Blandy,Solarpunk sci-fantasy mashup of BitD and 24XX in a post-post apocalypse world.
PROLE,f,f,f,Highland Paranormal Society,Coin-Flipping RPG
Fatum Betula,t,f,f,Bryce Bucher,Water an ancient birch.
SUPERHOT,t,f,f,SUPERHOT,The first person shooter where time moves only when you move.
Dumpy & Bumpy,t,f,f,Programancer,A retro styled character puzzle game with couch co-op with 80 levels!
Summer Gems,t,f,f,3ofcupsgames,A small experience about a summer friendship with Mediterranean vibes
ZeroRanger,t,f,f,system_erasure,May you attain enlightenment.
.dungeon,f,f,f,Batts,An alternate reality table top roleplaying game.
Anamnesis,f,f,f,Blinking Birch Games,A solo tarot game about discovering yourself after memory loss
Phanta,f,f,f,Kegan (@Keganexe),A rules-lite 2-6 player RPG about surviving after the destruction of earth
Sundered: Eldritch Edition,t,t,t,Thunder Lotus,A chaotic handÂ­-drawn metroidvania where you resist or embrace ancient eldritch powers
The Magus,f,f,f,momatoes,"Pathos, arcana, calamityâand the infinite loneliness of power. A journalling RPG."
Fallen Down: Heartache & Compassion in Undertale,f,f,f,Joel Couture,"An unofficial book on Undertale, delving into the game's explorations of compassion."
The Wretched,f,f,f,Chris Bissette,Survive alone in the black
Troika! Numinous Edition,f,f,f,Melsonian Arts Council,The Other world's favourite fantasy RPG
Ynglet,t,f,f,Triple Topping,In Ynglet youâll jump between bubbles that float in the sky like youâre a space dolphin.
TENNNES,t,f,f,jwaaaap,a 2 player tennnes game
2064: Read Only Memories,t,t,t,MidBoss,A New Cyberpunk Adventure
A Short Hike,t,t,t,adamgryu,a little exploration game about hiking up a mountain
Baba Is You,t,t,t,Hempuli,A puzzle game where you change the rules. Also award-winning!
Night Call,t,f,t,Raw Fury,"Friend. Confidant. Therapist. Voyeur. As a night shift cab driver in Paris, you are many things to different people."
Skyling : Garden Defense,t,f,f,Mighty Studios,Arcade action maze game (Free demo!)
"Bury me, my Love",t,f,f,Dear Villagers,"Bury me my Love tells the story of Syrian refugee Nour and her husband Majd, as Nour  undertakes a journey to safety."
"Cook, Serve, Delicious! 2!!",t,t,t,chubigans,The highest selling and most intense restaurant sim ever made is back!
Fit For A King,t,f,f,Kitfox Games,"Henry VIII's simulation sandbox. Marry everything, execute everything!"
Moon Hunters,t,f,t,Kitfox Games,1-4 player personality test RPG
Celeste,t,t,t,Maddy Makes Games,Brave hundreds of hand-crafted challenges as you help Madeline survive her journey to the top of Celeste Mountain!
Minit Fun Racer,t,f,f,Devolver Digital,A peculiar little racing game with 100% of developer and Devolver's proceeds going directly to charity. Forever.
OMEGANAUT,t,t,f,Txori,"You are the last pilot of the Earth Alliance, our only resort: the Omeganaut"
Promesa,t,f,t,Julian Palacios,"A surreal journey through dreams, memories and fantasies."
Shattered Planet,t,f,t,Kitfox Games,Explore an infinitely dangerous planet!
TowerFall Dark World Expansion,t,t,t,Maddy Makes Games,More ways to murder your friends
Jotun: Valhalla Edition,t,t,t,Thunder Lotus,Jotun is a hand-drawn action-exploration game set in Norse mythology. Impress the Gods!
Minit,t,t,t,Devolver Digital,Minit is a peculiar little adventure played sixty seconds at a time.
Bleed,t,t,t,BootdiskRevolution,"Air-dodge, slow-time and blast baddies in this twin-skick action-platformer!"
SPOOKWARE,t,f,f,papercookies,Play loads of microgames and go on a road trip through the afterlife!
Sunlight,t,f,f,KrillbiteStudio,"A short, vibrant and thought captivating exploration game."
They Bleed Pixels,t,t,t,Spooky Squid Games Inc.,They Bleed Pixels is a fiendishly difficult platforming slash'em up inspired by weird fiction and gothic horror.
TowerFall Ascension,t,t,t,Maddy Makes Games,Local Multiplayer Archery Chaos!
A Mortician's Tale,t,f,t,Laundry Bear Games,A death-positive game where you play as a mortician tasked with running a funeral home
Arcade Spirits,t,t,t,Fiction Factory Games,A Romantic Comedy Narrative Game
Long Gone Days,t,f,t,Camila Gormaz,"Modern-day RPG that imagines the world of war that's coming for us, with a focus on civilians and language barriers."
Midnight Scenes Ep.1: The Highway (Special Edition),t,f,t,Octavi Navarro,"Untold horrors in a dark, deserted road."
the girlfriend of my girlfriend is my friend!!,f,f,f,stargazersasha,a simple ttrpg about the magical disaster of trans young adulthood
VISIGOTHS vs MALL GOTHS,f,f,f,Lucian Kahn ðð§ð»ââï¸,There are a lot of bisexuals. (ENnie Nominated for Best Writing in 2020!)
Midnight Scenes Ep.2: The Goodbye Note (Special Edition),t,f,t,Octavi Navarro,"""Taking this plane was a mistake."""
Hidden Folks,t,t,t,Adriaan de Jongh,"A hand-drawn, interactive searching game"
Dragonhearts,f,f,f,FractalDragon,A GMless TTRPG about the clash of over-sized personalities between shapeshifters who can assume human or dragon form
A Dance of Fire and Ice,t,f,t,fizzd,Keep your focus as you guide two orbiting planets along a winding path without breaking their perfect equilibrium.
Baldi's Basics Plus,t,t,t,Basically Games,Experience randomly generated chaos!
Sagebrush,t,f,t,Redact Games,Explore a cult compound in this narrative adventure game.
Changeling,t,f,t,Steamberry Studio,An Urban Fantasy visual novel that explores romance within a dangerous paranormal community
Highway Blossoms: Remastered,t,t,t,Studio Ãlan,A yuri/girls' love kinetic novel in the American Southwest
Cardinal Chains,t,t,t,Daniel Nora,An original puzzle game about non-decreasing sequences
Death and Taxes,t,t,t,Placeholder Gameworks,You are the Grim Reaper on an office job. Save the world.. or condemn it to damnation?
DÃ©panneur Nocturne,t,t,t,KO_OP,â a late-night shopping adventure â
DELVE: A Solo Map Drawing Game,f,f,f,BlackwellWriter,A Game Of Digging Too Deep
Into the Black,f,f,f,Monkey's Paw Games,A PINKHACK sci-fi system for space adventures.
Speed Dating for Ghosts,t,f,t,Copychaser Games,Wholesome horror conversation sim about death and robbing banks
Lenna's Inception,t,t,t,ByttenStudio,Procedurally generated Gameboy-style action-adventure game
Quadrilateral Cowboy,t,t,t,Blendo Games,Twentieth-century Cyberpunk
MewnBase,t,t,t,Cairn4,Planet exploration and survival game with base building.
KENZIE'S PROJECT,f,f,f,stargazersasha,a 3-player horror game about how academia changes us
Fortune-499,t,f,t,apthomson,
co-open,t,t,t,lowpolis,"Grocery shopping adventure: make friends, feed cats, and find secrets!"
Democratic Socialism Simulator,t,t,t,molleindustria,Pave the road to a post-capitalist society
Sky Rogue,t,t,t,Fractal Phase,"A fwooshy, intense, procedurally generated fly-em-up"
Gladiabots,t,t,t,GFX47,AI Combat Arena
Blue Shift,f,f,f,entropatia,A one-shot tabletop space travel roleplaying game where hard vacuum meets soft tissue
Bleed 2,t,t,t,BootdiskRevolution,"A relentless arcade action game with air-dodging, bullet-reflecting, and tons of bosses."
Fronds of Benevolence,f,f,f,Melsonian Arts Council,Duke DeCorticus is dying!
"Nina Aquila: Legal Eagle, Season One",t,t,f,Tanuki-sama Studios,Fight for justice in a world where all anime genres exist at once!
Session Zero,f,f,f,Meghan Cross,A deck based character creation game.
Underhero,t,t,t,Paper Castle,One in a minion
Beglitched,t,t,t,Hexecutable,a Cyberpink Adventure
Runecairn: Core Rules,f,f,f,By Odin's Beard RPG,Soulslike Norse fantasy tabletop role-playing game
Golf Peaks,t,f,t,afterburn,golf + cards + puzzles
FIST,f,f,f,CLAYMORE,a paranormal mercenary roleplaying game
A Good Snowman Is Hard To Build,t,t,t,Draknek & Friends,An adorable puzzle game about being a monster and making snowmen
Detective Case and Clown Bot in: Murder in The Hotel Lisbon,t,t,t,Nerd Monkeys,It's a pixel art game inspired by the classic point & click adventures from the 80âs and 90âs.
Working For The Corp,f,f,f,925 Games,Descended from the Queen game set in a cyberpunk dystopian future
The Steadfast and the Rebellious,f,f,f,W.H. Arthur,A storytelling RPG where you generate a city and its freedom fighters with a deck of cards
The Lost Art of Innkeeping,t,f,f,SeaPhoenix,"Having inherited Cascade Manor, you decide to convert it into an inn. But is there more to the manor than meets the eye?"
What's So Cool About Lucha Libre?,f,f,f,Color Spray Games,A rules-lite Borderpunk RPG about superheroic luchadores fighting evil for 1 GM and 1+ players.
Big Rock Candy Hexcrawl,f,f,f,Prismatic Wasteland,A Hexcrawl Inspired by Leftist Folk Music
Super Hexagon,t,t,t,Terry Cavanagh,"A minimal action game by Terry Cavanagh, with music by Chipzel."
Fostering Apocalypse,t,f,t,Incisor Studios,The world will end again.
THE BLACK IRIS,t,f,f,ARBORETA GAMES,A short cosmic horror exploration game
APOCALYPSE FRAME,f,f,f,Binary Star Games,An Illuminated Mecha RPG.
Locus,f,f,f,CobblePath Games,Personal Horror Roleplaying game.
UMBRA: A Solo Game of Final Frontiers,f,f,f,BlackwellWriter,Discover and draw your own space colony in this lightweight zine.
T-DEF,f,f,f,Lari Assmuth,A GMless mini-zine game where you pit your troopers against alien invaders!
The White Door,t,f,t,Second Maze,A Rusty Lake puzzle adventure
